Distance,Count,Time for data collection,count rate,count rate * distance ^2,Error associated ,
0.02,110803,10,11080.3,4.43212,0.445207508,0.100450238
0.04,51065,10,5106.5,8.1704,0.424218376,0.051921372
0.05,38456,10,3845.6,9.614,0.414634048,0.043128151
0.075,19562,10,1956.2,11.003625,0.384703204,0.034961497
0.1,12182,10,1218.2,12.182,0.425652969,0.03494114
0.15,5891,10,589.1,13.25475,0.573990739,0.043304531
0.2,3568,11,324.3636364,12.97454545,0.731994331,0.056417725
0.25,2465,12,205.4166667,12.83854167,0.901641756,0.070229297
0.3,2052,14,146.5714286,13.19142857,1.093143411,0.082867705
0.35,2104,20,105.2,12.887,1.258602538,0.09766451
0.4,2025,26,77.88461538,12.46153846,1.413410203,0.113421806
0.45,2094,34,61.58823529,12.47161765,1.590149362,0.127501452
0.5,2213,45,49.17777778,12.29444444,1.75386133,0.142654785
0.55,2463,59,41.74576271,12.62809322,1.95502094,0.154815213
0.6,2577,75,34.36,12.3696,2.110629308,0.170630361
0.65,2579,89,28.97752809,12.24300562,2.274662384,0.185792807
0.7,2574,105,24.51428571,12.012,2.426326001,0.201991842
