"Task 18, 19",,,,,,,,,,
Vernier Calliper has 6 micrometre systematic error.,,,,,,,,,,
,,,,,,,,,,
x / mm,Count,Thickness / mm,Time / s,ln(Count),error count,ln(error),Notes,,,
0,195562,0,10,12.18363274,442.2239252,6.091816372,maximum count rate,,,
1,54754,1,10,10.9106057,233.9957265,5.455302852,,,,
1.99,9125,0.99,10,9.118773178,95.52486587,4.559386589,,,,
2.99,716,1,10,6.573680167,26.75817632,3.286840083,,,,
3.98,110,0.99,10,4.700480366,10.48808848,2.350240183,,,,
4.98,91,1,10,4.510859507,9.539392014,2.255429753,,,,
5.97,76,0.99,10,4.33073334,8.717797887,2.16536667,,,,
6.36,86,0.39,10,4.454347296,9.273618495,2.227173648,,,,
6.75,74,0.39,10,4.304065093,8.602325267,2.152032547,,,,
7.15,76,0.4,10,4.33073334,8.717797887,2.16536667,,,,
1.68,16173,0.68,10,9.691098464,127.1731104,4.845549232,,,,0.01
2.67,1573,,10,7.360739903,39.66106403,3.680369952,,,,
3.67,132,,10,4.882801923,11.48912529,2.441400961,,,,
4.49,91,,10,4.510859507,9.539392014,2.255429753,,,,
5.49,92,,10,4.521788577,9.591663047,2.260894289,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0,176974,,10,12.08375811,,,,,,
0.51,94281,,10,11.45403496,,,,,,
1.03,43418,,10,10.67862938,,,,,,
1.52,19277,,10,9.866667954,,,,,,
0.22,126451,,10,11.74761016,,,,,,
0.73,66007,,10,11.09751608,,,,,,
1.21,30359,,10,10.32084829,,,,,,
1.7,12724,,10,9.451245253,,,,,,
1.97,7306,,10,8.896451207,,,,,,
2.18,4438,,10,8.397959103,,,,,,
2.47,2154,,10,7.675081858,,,,,,
2.67,1150,,10,7.047517221,,,,,,
2.95,551,,10,6.311734809,,,,,,
3.15,321,,10,5.771441123,,,,,,
3.36,186,,10,5.225746674,,,,,,
3.45,166,,10,5.111987788,,,,,,
3.64,105,,10,4.65396035,,,,,,
3.88,103,,10,4.634728988,,,,,,
4.12,88,,10,4.477336814,,,,,,
4.31,78,,10,4.356708827,,,,,,
4.52,79,,10,4.369447852,,,,,,
5.01,87,,10,4.465908119,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Task 20,,,,,,,,,,
Vernier Calliper has 6 micrometre systematic error.,,,,,,,,,,
,,,,,,,,,,
x / mm,Count,Thickness / mm,Time / s,ln(Count),Error(Count),Error(ln(Count)),Notes,,,
0,578745,,30,13.26861725,760.7529165,6.634308623,maximum count rate,,,
0.44,8204,,10,9.012377119,90.57593499,4.50618856,Prelim,,,
0.944,117,,10,4.762173935,10.81665383,2.381086967,Prelim,,,
0.44,24508,,30,10.10675487,156.5503114,5.053377437,Prelim,,,
0.944,342,,30,5.834810737,18.49324201,2.917405369,Prelim,,,
0.009,246210,,30,12.41394011,496.195526,6.206970055,,,,
0.026,95998,,30,11.47208264,309.8354402,5.736041318,,,,
0.43,28589,,30,10.26077731,169.0828199,5.130388654,,,,
0.56,9110,,30,9.11712799,95.44631999,4.558563995,,,,
0.64,4729,,30,8.461469043,68.76772499,4.230734521,,,,
0.76,1598,,30,7.376508126,39.97499218,3.688254063,,,,
0.84,702,,30,6.553933404,26.4952826,3.276966702,,,,
0.944,335,,30,5.814130532,18.30300522,2.907065266,,,,
1.001,248,,30,5.513428746,15.74801575,2.756714373,,,,
1.009,234,,30,5.455321115,15.29705854,2.727660558,,,,
,,,,#NUM!,0,#NUM!,,,,
,,,,#NUM!,0,#NUM!,,,,
1.2,78,,30,4.356708827,8.831760866,2.178354413,,,,
0,195348,,30,12.18253786,441.9819001,6.091268931,,,,
0.1,111431,,30,11.62116084,333.8128218,5.810580422,,,,
0.2,66209,,30,11.10057168,257.3110958,5.550285842,,,,
0.31,36715,,30,10.51094067,191.6115863,5.255470335,,,,
0.42,22738,,30,10.03179281,150.7912464,5.015896406,,,,
0.51,8808,,30,9.083415678,93.85094565,4.541707839,,,,
0.59,4158,,30,8.332789468,64.48255578,4.166394734,,,,
0.68,1826,,30,7.509883061,42.73172124,3.754941531,,,,
0.76,940,,30,6.845879875,30.65941943,3.422939938,,,,
0.81,622,,30,6.432940093,24.93992783,3.216470046,,,,
0.9,223,,30,5.407171771,14.93318452,2.703585886,,,,
0.99,148,,30,4.997212274,12.16552506,2.498606137,,,,
1.07,100,,30,4.605170186,10,2.302585093,,,,
1.14,86,,30,4.454347296,9.273618495,2.227173648,,,,
1.24,95,,30,4.553876892,9.746794345,2.276938446,,,,
1.32,79,,30,4.369447852,8.888194417,2.184723926,,,,
1.4,64,,30,4.158883083,8,2.079441542,,,,
1.54,71,,,4.262679877,8.426149773,2.131339939,,,,
