Distance,Count Rate,Time,Ln Count Rate,Unc Count Rate,Unc Ln Count Rate
1.2,78,30,4.356708827,8.831760866,0.113227703
0,195348,30,12.18253786,441.9819001,0.002262536
0.1,111431,30,11.62116084,333.8128218,0.002995691
0.2,66209,30,11.10057168,257.3110958,0.003886346
0.31,36715,30,10.51094067,191.6115863,0.005218891
0.42,22738,30,10.03179281,150.7912464,0.006631685
0.51,8808,30,9.083415678,93.85094565,0.010655194
0.59,4158,30,8.332789468,64.48255578,0.01550807
0.68,1826,30,7.509883061,42.73172124,0.023401819
0.76,940,30,6.845879875,30.65941943,0.032616404
0.81,622,30,6.432940093,24.93992783,0.040096347
0.9,223,30,5.407171771,14.93318452,0.066964953
0.99,148,30,4.997212274,12.16552506,0.082199494
1.07,100,30,4.605170186,10,0.1
1.14,86,30,4.454347296,9.273618495,0.107832773
1.24,95,30,4.553876892,9.746794345,0.102597835
1.32,79,30,4.369447852,8.888194417,0.11250879
1.4,64,30,4.158883083,8,0.125
1.54,71,30,4.262679877,8.426149773,0.118678166
