EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
115.065,-100,0,0
161.432,-100,0,0
410.675,-100,0,0
392.784,-100,0,0
91.9713,-100,0,0
113.794,-100,0,0
100.093,-100,0,0
172.283,-100,0,0
172.983,-100,0,0
158.105,-100,0,0
126.782,-100,0,0
142.949,-100,0,0
90.7501,-100,0,0
378.052,-100,0,0
205.482,-100,0,0
157.669,-100,0,0
252.855,-100,0,0
126.87,-100,0,0
107.835,-100,0,0
112.53,-100,0,0
87.5681,-100,0,0
139.916,-100,0,0
408.861,-100,0,0
217.977,-100,0,0
383.968,-100,0,0
109.068,-100,0,0
93.2769,-100,0,0
216.624,-100,0,0
144.018,-100,0,0
113.741,-100,0,0
382.073,-100,0,0
91.9221,-100,0,0
98.5877,-100,0,0
123.723,-100,0,0
190.49,-100,0,0
158.562,-100,0,0
405.367,-100,0,0
105.569,-100,0,0
204.731,-100,0,0
256.834,-100,0,0
125.382,-100,0,0
117.437,-100,0,0
84.1789,-100,0,0
120.374,-100,0,0
83.2343,-100,0,0
287.777,-100,0,0
230.296,-100,0,0
117.384,-100,0,0
96.0322,-100,0,0
420.742,-100,0,0
92.0998,-100,0,0
296.824,-100,0,0
91.0018,-100,0,0
100.244,-100,0,0
99.87,-100,0,0
89.3962,-100,0,0
149.082,-100,0,0
221.917,-100,0,0
165.256,-100,0,0
112.458,-100,0,0
209.322,-100,0,0
145.043,-100,0,0
87.5033,-100,0,0
97.9475,-100,0,0
383.212,-100,0,0
127.857,-100,0,0
81.781,-100,0,0
91.013,-100,0,0
129.829,-100,0,0
51.0475,-100,0,0
254.194,-100,0,0
91.3129,-100,0,0
227.611,-100,0,0
137.134,-100,0,0
102.613,-100,0,0
237.666,-100,0,0
300.711,-100,0,0
111.9,-100,0,0
304.543,-100,0,0
377.165,-100,0,0
149.376,-100,0,0
162.462,-100,0,0
305.596,-100,0,0
96.2736,-100,0,0
170.341,-100,0,0
327.564,-100,0,0
198.006,-100,0,0
109.996,-100,0,0
70.0482,-100,0,0
173.051,-100,0,0
249.857,-100,0,0
254.125,-100,0,0
107.154,-100,0,0
141.273,-100,0,0
136.973,-100,0,0
158.748,-100,0,0
127.214,-100,0,0
118.312,-100,0,0
95.7791,-100,0,0
319.696,-100,0,0
214.39,-100,0,0
80.4584,-100,0,0
120.63,-100,0,0
81.8272,-100,0,0
268.141,-100,0,0
179.98,-100,0,0
97.5732,-100,0,0
191.85,-100,0,0
336.856,-100,0,0
91.7836,-100,0,0
331.563,-100,0,0
115.226,-100,0,0
96.9455,-100,0,0
112.812,-100,0,0
140.955,-100,0,0
183.149,-100,0,0
444.185,-100,0,0
166.132,-100,0,0
213.612,-100,0,0
243.504,-100,0,0
98.5724,-100,0,0
97.1861,-100,0,0
122.538,-100,0,0
151.205,-100,0,0
323.557,-100,0,0
113.446,-100,0,0
256.879,-100,0,0
139.067,-100,0,0
80.6078,-100,0,0
212.069,-100,0,0
141.462,-100,0,0
220.598,-100,0,0
77.9776,-100,0,0
125.81,-100,0,0
221.176,-100,0,0
120.846,-100,0,0
96.9536,-100,0,0
128.35,-100,0,0
118.653,-100,0,0
118.781,-100,0,0
152.483,-100,0,0
111.683,-100,0,0
695.018,-100,0,0
142.509,-100,0,0
95.5337,-100,0,0
140.086,-100,0,0
87.5181,-100,0,0
138.436,-100,0,0
672.997,-100,0,0
101.131,-100,0,0
209.788,-100,0,0
417.523,-100,0,0
69.3195,-100,0,0
119.962,-100,0,0
304.173,-100,0,0
34.6482,-100,0,0
53.4997,-100,0,0
95.5688,-100,0,0
90.6193,-100,0,0
251.626,-100,0,0
210.974,-100,0,0
225.038,-100,0,0
212.272,-100,0,0
86.5722,-100,0,0
97.5461,-100,0,0
130.898,-100,0,0
407.709,-100,0,0
153.351,-100,0,0
139.49,-100,0,0
669.596,-100,0,0
404.698,-100,0,0
84.0341,-100,0,0
126.782,-100,0,0
86.2103,-100,0,0
337.452,-100,0,0
129.027,-100,0,0
97.7932,-100,0,0
125.906,-100,0,0
174.915,-100,0,0
75.4994,-100,0,0
129.999,-100,0,0
119.767,-100,0,0
300.29,-100,0,0
120.536,-100,0,0
102.309,-100,0,0
265.773,-100,0,0
101.733,-100,0,0
216.586,-100,0,0
441.532,-100,0,0
253.316,-100,0,0
204.33,-100,0,0
86.825,-100,0,0
127.067,-100,0,0
184.798,-100,0,0
296.62,-100,0,0
87.167,-100,0,0
292.021,-100,0,0
18.7991,-100,0,0
290.618,-100,0,0
97.4764,-100,0,0
104.726,-100,0,0
706.636,-100,0,0
244.084,-100,0,0
66.8055,-100,0,0
298.634,-100,0,0
191.588,-100,0,0
103.974,-100,0,0
135.326,-100,0,0
94.8541,-100,0,0
167.851,-100,0,0
25.3558,-100,0,0
517.324,-100,0,0
117.814,-100,0,0
166.594,-100,0,0
441.055,-100,0,0
198.614,-100,0,0
110.019,-100,0,0
343.358,-100,0,0
