EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
298.658,0,0,0
298.569,0,0,0
296.931,0,0,0
299.168,0,0,0
155.917,0,0,0
299.04,0,0,0
61.9357,0,0,0
298.237,0,0,0
299.008,0,0,0
297.589,0,0,0
298.557,0,0,0
297.879,0,0,0
298.53,0,0,0
298.143,0,0,0
298.942,0,0,0
298.031,0,0,0
298.276,0,0,0
298.14,0,0,0
298.241,0,0,0
263.53,0,0,0
298.818,0,0,0
298.39,0,0,0
298.24,0,0,0
297.67,0,0,0
296.9,0,0,0
49.6276,0,0,0
147.208,0,0,0
298.121,0,0,0
297.283,0,0,0
298.076,0,0,0
297.438,0,0,0
298.345,0,0,0
297.186,0,0,0
296.22,0,0,0
299.19,0,0,0
298.532,0,0,0
211.68,0,0,0
298.429,0,0,0
296.843,0,0,0
299.353,0,0,0
274.334,0,0,0
297.348,0,0,0
146.6,0,0,0
189.914,0,0,0
295.355,0,0,0
298.505,0,0,0
201.118,0,0,0
298.529,0,0,0
298.832,0,0,0
298.436,0,0,0
298.911,0,0,0
297.788,0,0,0
298.861,0,0,0
297.98,0,0,0
297.605,0,0,0
159.614,0,0,0
200.655,0,0,0
298.609,0,0,0
298.566,0,0,0
299.141,0,0,0
298.216,0,0,0
298.616,0,0,0
298.98,0,0,0
298.72,0,0,0
298.822,0,0,0
297.107,0,0,0
298.215,0,0,0
298.519,0,0,0
298.333,0,0,0
298.703,0,0,0
299.341,0,0,0
298.847,0,0,0
299.158,0,0,0
298.589,0,0,0
296.54,0,0,0
296.742,0,0,0
299.062,0,0,0
298.471,0,0,0
298.416,0,0,0
298.404,0,0,0
298.749,0,0,0
298.748,0,0,0
298.266,0,0,0
208.148,0,0,0
298.238,0,0,0
107.462,0,0,0
298.731,0,0,0
297.576,0,0,0
198.891,0,0,0
298.741,0,0,0
297.831,0,0,0
298.749,0,0,0
298.001,0,0,0
298.513,0,0,0
299.323,0,0,0
152.629,0,0,0
297.403,0,0,0
299.204,0,0,0
