EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
95.979,0,0,0
110.841,0,0,0
81.8221,0,0,0
64.0715,0,0,0
153.411,0,0,0
81.5968,0,0,0
89.3144,0,0,0
84.7444,0,0,0
81.4759,0,0,0
87.0773,0,0,0
80.24,0,0,0
77.6889,0,0,0
71.6473,0,0,0
85.9318,0,0,0
77.9044,0,0,0
76.5269,0,0,0
197.357,0,0,0
87.1924,0,0,0
121.057,0,0,0
139.895,0,0,0
72.0395,0,0,0
65.1607,0,0,0
86.7966,0,0,0
136.4,0,0,0
82.101,0,0,0
155.028,0,0,0
69.7689,0,0,0
215.29,0,0,0
71.3897,0,0,0
90.916,0,0,0
77.4232,0,0,0
88.1025,0,0,0
115.884,0,0,0
73.6783,0,0,0
77.6452,0,0,0
92.0785,0,0,0
95.1737,0,0,0
78.0955,0,0,0
541.886,0,0,0
75.1699,0,0,0
100.293,0,0,0
86.2791,0,0,0
89.9889,0,0,0
163.453,0,0,0
83.81,0,0,0
74.6057,0,0,0
132.324,0,0,0
77.8394,0,0,0
111.026,0,0,0
285.057,0,0,0
79.3455,0,0,0
220.852,0,0,0
97.8853,0,0,0
79.5984,0,0,0
82.6567,0,0,0
87.5574,0,0,0
84.2863,0,0,0
129.25,0,0,0
92.403,0,0,0
107.566,0,0,0
76.0346,0,0,0
101.554,0,0,0
139.809,0,0,0
96.8164,0,0,0
105.618,0,0,0
100.835,0,0,0
79.4386,0,0,0
79.9769,0,0,0
92.5734,0,0,0
64.8382,0,0,0
211.574,0,0,0
100.694,0,0,0
84.3603,0,0,0
79.0586,0,0,0
383.482,0,0,0
137.409,0,0,0
144.804,0,0,0
101.838,0,0,0
83.5657,0,0,0
80.685,0,0,0
96.0497,0,0,0
210.856,0,0,0
75.3447,0,0,0
106.918,0,0,0
102.009,0,0,0
67.1076,0,0,0
121.85,0,0,0
90.6945,0,0,0
119.011,0,0,0
145.486,0,0,0
78.8556,0,0,0
86.5477,0,0,0
88.636,0,0,0
80.0519,0,0,0
151.387,0,0,0
114.725,0,0,0
69.1276,0,0,0
177.104,0,0,0
130.125,0,0,0
81.11,0,0,0
