EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
50.3288,0,0,0
56.1545,0,0,0
25.0289,0,0,0
54.9803,0,0,0
54.4769,0,0,0
53.7435,0,0,0
12.1385,0,0,0
54.9229,0,0,0
55.1823,0,0,0
53.2682,0,0,0
50.8145,0,0,0
55.1448,0,0,0
53.5446,0,0,0
54.5858,0,0,0
16.9062,0,0,0
53.3905,0,0,0
57.0173,0,0,0
42.0889,0,0,0
55.2188,0,0,0
55.2077,0,0,0
53.1766,0,0,0
54.9699,0,0,0
10.8143,0,0,0
50.1568,0,0,0
6.87703,0,0,0
55.755,0,0,0
55.653,0,0,0
54.7006,0,0,0
52.2255,0,0,0
53.5371,0,0,0
49.4632,0,0,0
52.9889,0,0,0
54.7945,0,0,0
4.47647,0,0,0
53.4199,0,0,0
55.4067,0,0,0
47.8157,0,0,0
41.6843,0,0,0
52.8461,0,0,0
52.4955,0,0,0
17.0149,0,0,0
53.2421,0,0,0
56.1088,0,0,0
30.4764,0,0,0
52.5216,0,0,0
9.14917,0,0,0
54.9264,0,0,0
55.3924,0,0,0
49.482,0,0,0
57.2136,0,0,0
53.9051,0,0,0
52.4865,0,0,0
54.5297,0,0,0
7.06435,0,0,0
41.343,0,0,0
22.6615,0,0,0
48.6404,0,0,0
54.6481,0,0,0
55.7872,0,0,0
55.7431,0,0,0
2.21917,0,0,0
40.0158,0,0,0
16.6289,0,0,0
54.2399,0,0,0
55.605,0,0,0
55.7304,0,0,0
51.2339,0,0,0
54.9255,0,0,0
49.8767,0,0,0
55.9361,0,0,0
55.8744,0,0,0
53.471,0,0,0
48.7573,0,0,0
55.044,0,0,0
55.732,0,0,0
55.7308,0,0,0
22.0544,0,0,0
52.7073,0,0,0
51.7275,0,0,0
27.9605,0,0,0
54.4318,0,0,0
21.1854,0,0,0
51.8018,0,0,0
54.1901,0,0,0
49.9549,0,0,0
51.1642,0,0,0
54.3979,0,0,0
56.0324,0,0,0
7.89473,0,0,0
53.4846,0,0,0
53.4826,0,0,0
54.95,0,0,0
54.2201,0,0,0
55.2907,0,0,0
52.7201,0,0,0
55.8553,0,0,0
53.9281,0,0,0
54.9585,0,0,0
54.4938,0,0,0
54.5758,0,0,0
55.695,0,0,0
55.2984,0,0,0
53.0256,0,0,0
39.3703,0,0,0
11.4919,0,0,0
51.6945,0,0,0
10.9884,0,0,0
52.3257,0,0,0
52.0318,0,0,0
51.3321,0,0,0
55.117,0,0,0
55.3828,0,0,0
24.6971,0,0,0
52.4038,0,0,0
54.0802,0,0,0
53.103,0,0,0
48.4256,0,0,0
54.0938,0,0,0
48.5235,0,0,0
54.601,0,0,0
56.9623,0,0,0
54.1492,0,0,0
53.0649,0,0,0
51.53,0,0,0
15.2159,0,0,0
55.4416,0,0,0
55.2246,0,0,0
54.1745,0,0,0
45.9814,0,0,0
54.4425,0,0,0
0.242904,0,0,0
57.4132,0,0,0
54.437,0,0,0
53.334,0,0,0
53.8865,0,0,0
53.0397,0,0,0
53.6589,0,0,0
52.023,0,0,0
51.1053,0,0,0
55.3603,0,0,0
55.97,0,0,0
1.29309,0,0,0
53.0054,0,0,0
52.827,0,0,0
52.1366,0,0,0
2.57788,0,0,0
49.6652,0,0,0
55.7889,0,0,0
55.664,0,0,0
4.23671,0,0,0
53.9861,0,0,0
54.1421,0,0,0
35.5896,0,0,0
55.4189,0,0,0
36.4695,0,0,0
54.8672,0,0,0
47.623,0,0,0
52.3246,0,0,0
55.7139,0,0,0
12.3947,0,0,0
52.2543,0,0,0
56.7623,0,0,0
54.6858,0,0,0
54.2237,0,0,0
21.1632,0,0,0
53.2758,0,0,0
43.658,0,0,0
55.8741,0,0,0
20.1374,0,0,0
27.075,0,0,0
24.1816,0,0,0
56.2868,0,0,0
55.083,0,0,0
53.4616,0,0,0
54.442,0,0,0
55.9853,0,0,0
28.4156,0,0,0
53.0806,0,0,0
44.8869,0,0,0
54.6739,0,0,0
56.8181,0,0,0
54.1154,0,0,0
53.7651,0,0,0
51.3823,0,0,0
54.8339,0,0,0
13.2124,0,0,0
50.5645,0,0,0
53.3753,0,0,0
51.8609,0,0,0
55.9728,0,0,0
10.2378,0,0,0
34.7224,0,0,0
55.1995,0,0,0
54.0671,0,0,0
54.8557,0,0,0
50.8467,0,0,0
54.9666,0,0,0
1.84506,0,0,0
1.37819,0,0,0
52.3451,0,0,0
56.3449,0,0,0
26.0959,0,0,0
8.04407,0,0,0
56.618,0,0,0
53.509,0,0,0
53.8258,0,0,0
53.4494,0,0,0
55.3843,0,0,0
54.6425,0,0,0
55.8778,0,0,0
55.5501,0,0,0
55.7681,0,0,0
49.5937,0,0,0
53.602,0,0,0
53.4845,0,0,0
53.048,0,0,0
55.0069,0,0,0
48.5986,0,0,0
55.7405,0,0,0
50.7077,0,0,0
45.0104,0,0,0
53.1435,0,0,0
52.8473,0,0,0
17.9634,0,0,0
49.3649,0,0,0
55.2297,0,0,0
51.7062,0,0,0
54.1576,0,0,0
51.4105,0,0,0
52.6621,0,0,0
56.4412,0,0,0
49.8722,0,0,0
50.8402,0,0,0
51.7116,0,0,0
55.4593,0,0,0
10.9667,0,0,0
29.7669,0,0,0
56.2369,0,0,0
54.6999,0,0,0
56.0181,0,0,0
52.344,0,0,0
29.6492,0,0,0
54.5237,0,0,0
54.8962,0,0,0
54.6326,0,0,0
30.1079,0,0,0
53.8948,0,0,0
6.04115,0,0,0
54.2317,0,0,0
54.984,0,0,0
52.6911,0,0,0
44.4981,0,0,0
53.2774,0,0,0
10.2696,0,0,0
50.9223,0,0,0
55.1483,0,0,0
55.2113,0,0,0
54.0617,0,0,0
54.2688,0,0,0
55.612,0,0,0
49.4568,0,0,0
55.649,0,0,0
53.6911,0,0,0
56.6184,0,0,0
53.2247,0,0,0
52.7257,0,0,0
22.7766,0,0,0
53.8634,0,0,0
53.4411,0,0,0
30.4512,0,0,0
55.6077,0,0,0
8.00984,0,0,0
16.8098,0,0,0
0.978214,0,0,0
19.3691,0,0,0
52.3761,0,0,0
50.8715,0,0,0
55.5623,0,0,0
55.276,0,0,0
53.883,0,0,0
51.7804,0,0,0
55.6508,0,0,0
28.603,0,0,0
52.2767,0,0,0
56.3399,0,0,0
54.2948,0,0,0
34.4956,0,0,0
53.6787,0,0,0
41.393,0,0,0
53.6529,0,0,0
52.1103,0,0,0
52.9271,0,0,0
48.2174,0,0,0
54.4593,0,0,0
54.3793,0,0,0
56.684,0,0,0
55.0897,0,0,0
48.4948,0,0,0
54.7784,0,0,0
54.1388,0,0,0
55.26,0,0,0
50.0037,0,0,0
33.4473,0,0,0
56.4966,0,0,0
3.03465,0,0,0
17.0647,0,0,0
52.5289,0,0,0
35.2237,0,0,0
52.6395,0,0,0
52.9278,0,0,0
55.5325,0,0,0
48.3648,0,0,0
53.4155,0,0,0
53.8633,0,0,0
1.42503,0,0,0
54.467,0,0,0
56.9401,0,0,0
45.7765,0,0,0
19.816,0,0,0
53.1943,0,0,0
18.0383,0,0,0
53.7497,0,0,0
56.4941,0,0,0
53.9385,0,0,0
15.7882,0,0,0
54.5617,0,0,0
53.4615,0,0,0
9.29901,0,0,0
46.4504,0,0,0
52.9075,0,0,0
4.4305,0,0,0
55.4751,0,0,0
27.368,0,0,0
53.8715,0,0,0
56.7176,0,0,0
51.3556,0,0,0
53.4815,0,0,0
56.4044,0,0,0
52.4146,0,0,0
22.9214,0,0,0
52.5241,0,0,0
3.45217,0,0,0
35.3346,0,0,0
53.1374,0,0,0
22.8234,0,0,0
53.9826,0,0,0
55.5165,0,0,0
52.982,0,0,0
8.21733,0,0,0
55.7748,0,0,0
14.0943,0,0,0
55.9684,0,0,0
23.3507,0,0,0
56.1782,0,0,0
56.2701,0,0,0
51.318,0,0,0
20.1822,0,0,0
50.8762,0,0,0
53.7064,0,0,0
51.3746,0,0,0
51.6142,0,0,0
51.928,0,0,0
48.5591,0,0,0
15.2222,0,0,0
50.2067,0,0,0
48.5766,0,0,0
51.7891,0,0,0
54.0205,0,0,0
53.3449,0,0,0
52.9035,0,0,0
55.1527,0,0,0
54.9269,0,0,0
16.4338,0,0,0
4.23979,0,0,0
51.9506,0,0,0
25.6865,0,0,0
51.1508,0,0,0
54.72,0,0,0
39.9123,0,0,0
51.9043,0,0,0
54.8547,0,0,0
55.3495,0,0,0
50.4574,0,0,0
55.3883,0,0,0
55.2621,0,0,0
55.2734,0,0,0
55.9791,0,0,0
51.4432,0,0,0
17.0218,0,0,0
55.2642,0,0,0
56.2044,0,0,0
56.3536,0,0,0
50.5536,0,0,0
19.8643,0,0,0
4.4352,0,0,0
43.8614,0,0,0
52.2807,0,0,0
55.4042,0,0,0
51.7083,0,0,0
53.9694,0,0,0
51.0579,0,0,0
55.0723,0,0,0
53.661,0,0,0
53.5715,0,0,0
51.3269,0,0,0
54.7337,0,0,0
6.31264,0,0,0
54.1055,0,0,0
47.9141,0,0,0
44.8269,0,0,0
53.6057,0,0,0
54.7916,0,0,0
53.6143,0,0,0
52.7453,0,0,0
54.0148,0,0,0
51.8035,0,0,0
51.9328,0,0,0
13.9482,0,0,0
14.8848,0,0,0
54.7296,0,0,0
52.7125,0,0,0
53.1632,0,0,0
50.9121,0,0,0
56.1797,0,0,0
6.68104,0,0,0
54.3505,0,0,0
51.5078,0,0,0
54.227,0,0,0
53.9721,0,0,0
43.0597,0,0,0
19.8849,0,0,0
54.1555,0,0,0
54.1054,0,0,0
55.3146,0,0,0
54.9541,0,0,0
53.1665,0,0,0
32.899,0,0,0
52.6551,0,0,0
55.2203,0,0,0
53.0718,0,0,0
54.6691,0,0,0
49.0502,0,0,0
