EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
60,0,0,0
4.77084,0,0,0
1.45393,0,0,0
60,0,0,0
6.22464,0,0,0
3.87302,0,0,0
0.341969,0,0,0
60,0,0,0
10.7335,0,0,0
60,0,0,0
60,0,0,0
9.82141,0,0,0
3.77317,0,0,0
60,0,0,0
6.90216,0,0,0
6.2905,0,0,0
60,0,0,0
60,0,0,0
10.0148,0,0,0
8.40939,0,0,0
11.4105,0,0,0
4.77517,0,0,0
60,0,0,0
10.8507,0,0,0
60,0,0,0
60,0,0,0
1.26629,0,0,0
60,0,0,0
10.9066,0,0,0
10.0017,0,0,0
6.80257,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.23791,0,0,0
6.14985,0,0,0
60,0,0,0
60,0,0,0
3.65906,0,0,0
11.3736,0,0,0
60,0,0,0
3.17937,0,0,0
60,0,0,0
9.68088,0,0,0
60,0,0,0
60,0,0,0
10.9052,0,0,0
9.24607,0,0,0
60,0,0,0
5.33924,0,0,0
2.69193,0,0,0
60,0,0,0
5.47036,0,0,0
10.1221,0,0,0
5.05686,0,0,0
0.231459,0,0,0
0.659032,0,0,0
9.09599,0,0,0
10.336,0,0,0
2.20228,0,0,0
7.75829,0,0,0
60,0,0,0
60,0,0,0
2.12928,0,0,0
10.3861,0,0,0
13.9019,0,0,0
6.51925,0,0,0
60,0,0,0
0.117568,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
8.68824,0,0,0
4.24203,0,0,0
60,0,0,0
60,0,0,0
20.5876,0,0,0
60,0,0,0
10.0678,0,0,0
13.6563,0,0,0
60,0,0,0
9.9665,0,0,0
60,0,0,0
10.4404,0,0,0
3.28388,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.5958,0,0,0
11.2123,0,0,0
60,0,0,0
10.0345,0,0,0
60,0,0,0
60,0,0,0
9.14878,0,0,0
60,0,0,0
60,0,0,0
5.54082,0,0,0
13.9023,0,0,0
6.10137,0,0,0
6.01901,0,0,0
8.89271,0,0,0
60,0,0,0
6.56341,0,0,0
11.2684,0,0,0
5.16299,0,0,0
60,0,0,0
4.76368,0,0,0
3.34412,0,0,0
10.892,0,0,0
2.31049,0,0,0
6.50997,0,0,0
60,0,0,0
2.55679,0,0,0
60,0,0,0
1.1723,0,0,0
0.784065,0,0,0
10.4186,0,0,0
60,0,0,0
60,0,0,0
0.49309,0,0,0
20.9568,0,0,0
1.99428,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
2.96275,0,0,0
9.78669,0,0,0
5.24967,0,0,0
7.01143,0,0,0
60,0,0,0
10.0854,0,0,0
11.2592,0,0,0
1.23988,0,0,0
60,0,0,0
0.557373,0,0,0
9.69908,0,0,0
1.20288,0,0,0
1.6263,0,0,0
2.88999,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.5496,0,0,0
3.47407,0,0,0
60,0,0,0
60,0,0,0
9.45222,0,0,0
60,0,0,0
0.962085,0,0,0
60,0,0,0
60,0,0,0
10.9405,0,0,0
60,0,0,0
10.6676,0,0,0
9.957,0,0,0
11.2959,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
0.387801,0,0,0
60,0,0,0
0.571718,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
8.68357,0,0,0
10.9124,0,0,0
10.0577,0,0,0
60,0,0,0
1.85302,0,0,0
4.64248,0,0,0
60,0,0,0
60,0,0,0
3.91741,0,0,0
3.10953,0,0,0
60,0,0,0
0.836732,0,0,0
60,0,0,0
0.67602,0,0,0
10.0579,0,0,0
60,0,0,0
9.4726,0,0,0
8.63664,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
0.666499,0,0,0
10.6072,0,0,0
0.941696,0,0,0
11.2618,0,0,0
60,0,0,0
60,0,0,0
2.23278,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
6.56412,0,0,0
37.561,0,0,0
5.50665,0,0,0
60,0,0,0
1.01046,0,0,0
6.01023,0,0,0
60,0,0,0
2.47754,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
4.08065,0,0,0
1.79982,0,0,0
10.6521,0,0,0
60,0,0,0
7.1221,0,0,0
60,0,0,0
11.1419,0,0,0
11.1657,0,0,0
60,0,0,0
60,0,0,0
10.6012,0,0,0
3.58817,0,0,0
1.09645,0,0,0
60,0,0,0
60,0,0,0
2.51479,0,0,0
0.885864,0,0,0
0.106123,0,0,0
60,0,0,0
60,0,0,0
9.4083,0,0,0
3.50399,0,0,0
3.94166,0,0,0
60,0,0,0
0.386365,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
24.4446,0,0,0
60,0,0,0
0.357217,0,0,0
60,0,0,0
3.43682,0,0,0
3.17613,0,0,0
60,0,0,0
4.93645,0,0,0
60,0,0,0
2.6846,0,0,0
3.63911,0,0,0
3.89062,0,0,0
10.6846,0,0,0
60,0,0,0
7.77272,0,0,0
60,0,0,0
7.35904,0,0,0
0.543788,0,0,0
60,0,0,0
5.46709,0,0,0
0.43532,0,0,0
9.0697,0,0,0
60,0,0,0
60,0,0,0
10.3747,0,0,0
60,0,0,0
60,0,0,0
6.66622,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
5.61087,0,0,0
60,0,0,0
7.91632,0,0,0
0.328873,0,0,0
0.216066,0,0,0
0.74573,0,0,0
1.67915,0,0,0
9.63795,0,0,0
9.03215,0,0,0
60,0,0,0
0.936833,0,0,0
7.11754,0,0,0
7.39934,0,0,0
6.45569,0,0,0
60,0,0,0
1.12365,0,0,0
6.02394,0,0,0
60,0,0,0
9.09089,0,0,0
60,0,0,0
6.78501,0,0,0
11.2862,0,0,0
5.83692,0,0,0
60,0,0,0
2.70902,0,0,0
0.981993,0,0,0
0.657773,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
8.42375,0,0,0
10.539,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
0.570371,0,0,0
60,0,0,0
60,0,0,0
3.6482,0,0,0
60,0,0,0
8.97309,0,0,0
60,0,0,0
2.30947,0,0,0
4.59028,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.5464,0,0,0
10.6102,0,0,0
21.6162,0,0,0
60,0,0,0
0.124232,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.1824,0,0,0
60,0,0,0
6.86646,0,0,0
6.62711,0,0,0
3.95317,0,0,0
60,0,0,0
6.72655,0,0,0
6.12557,0,0,0
5.25342,0,0,0
3.42662,0,0,0
60,0,0,0
0.514439,0,0,0
6.01156,0,0,0
9.92119,0,0,0
0.529929,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.8628,0,0,0
10.0916,0,0,0
57.8155,0,0,0
60,0,0,0
2.17026,0,0,0
10.1413,0,0,0
8.65931,0,0,0
9.16535,0,0,0
9.51899,0,0,0
6.97105,0,0,0
60,0,0,0
2.21421,0,0,0
3.35277,0,0,0
4.27622,0,0,0
8.29199,0,0,0
60,0,0,0
60,0,0,0
1.84699,0,0,0
8.84578,0,0,0
60,0,0,0
60,0,0,0
10.3899,0,0,0
60,0,0,0
10.5747,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
1.38537,0,0,0
2.36485,0,0,0
60,0,0,0
2.43227,0,0,0
8.53077,0,0,0
60,0,0,0
11.3981,0,0,0
14.5175,0,0,0
60,0,0,0
60,0,0,0
4.11441,0,0,0
60,0,0,0
1.533,0,0,0
60,0,0,0
8.41145,0,0,0
60,0,0,0
9.7714,0,0,0
6.44311,0,0,0
10.8146,0,0,0
10.5206,0,0,0
2.07358,0,0,0
2.03619,0,0,0
1.77543,0,0,0
60,0,0,0
6.76749,0,0,0
60,0,0,0
11.1744,0,0,0
60,0,0,0
60,0,0,0
0.458895,0,0,0
2.3888,0,0,0
1.58317,0,0,0
4.16499,0,0,0
0.886451,0,0,0
10.662,0,0,0
6.32046,0,0,0
60,0,0,0
60,0,0,0
11.259,0,0,0
60,0,0,0
2.18278,0,0,0
60,0,0,0
60,0,0,0
8.57828,0,0,0
60,0,0,0
9.16261,0,0,0
60,0,0,0
60,0,0,0
1.03512,0,0,0
8.53292,0,0,0
60,0,0,0
1.18755,0,0,0
60,0,0,0
5.03514,0,0,0
3.69503,0,0,0
60,0,0,0
10.3525,0,0,0
4.27321,0,0,0
8.32659,0,0,0
2.98471,0,0,0
60,0,0,0
5.50041,0,0,0
60,0,0,0
60,0,0,0
0.326513,0,0,0
3.32676,0,0,0
60,0,0,0
60,0,0,0
5.78249,0,0,0
4.09566,0,0,0
60,0,0,0
60,0,0,0
8.96835,0,0,0
4.01309,0,0,0
1.15346,0,0,0
60,0,0,0
2.63272,0,0,0
60,0,0,0
11.3559,0,0,0
2.26563,0,0,0
60,0,0,0
8.17711,0,0,0
10.3489,0,0,0
4.02052,0,0,0
4.47955,0,0,0
11.0947,0,0,0
1.2905,0,0,0
8.46283,0,0,0
6.74173,0,0,0
1.01227,0,0,0
4.29099,0,0,0
9.43115,0,0,0
5.41353,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.4306,0,0,0
60,0,0,0
4.35755,0,0,0
10.4123,0,0,0
60,0,0,0
60,0,0,0
9.15248,0,0,0
60,0,0,0
3.49257,0,0,0
10.9264,0,0,0
10.6568,0,0,0
3.48629,0,0,0
60,0,0,0
2.9433,0,0,0
10.5277,0,0,0
60,0,0,0
10.6854,0,0,0
1.36505,0,0,0
60,0,0,0
1.08416,0,0,0
10.3769,0,0,0
4.30502,0,0,0
0.51585,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
3.17511,0,0,0
4.42313,0,0,0
10.7201,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
7.05792,0,0,0
60,0,0,0
2.0501,0,0,0
9.24028,0,0,0
1.94317,0,0,0
4.11945,0,0,0
60,0,0,0
60,0,0,0
8.65544,0,0,0
60,0,0,0
60,0,0,0
1.36045,0,0,0
60,0,0,0
7.73077,0,0,0
60,0,0,0
60,0,0,0
10.8727,0,0,0
1.92059,0,0,0
5.54886,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
0.255129,0,0,0
10.5903,0,0,0
0.566963,0,0,0
60,0,0,0
3.27536,0,0,0
60,0,0,0
60,0,0,0
5.07832,0,0,0
60,0,0,0
0.773464,0,0,0
60,0,0,0
60,0,0,0
0.495395,0,0,0
5.15085,0,0,0
3.69492,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
6.16964,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
2.46975,0,0,0
1.68193,0,0,0
60,0,0,0
60,0,0,0
0.18095,0,0,0
60,0,0,0
60,0,0,0
3.7851,0,0,0
9.63999,0,0,0
60,0,0,0
5.24479,0,0,0
8.01661,0,0,0
60,0,0,0
8.0081,0,0,0
60,0,0,0
60,0,0,0
6.54301,0,0,0
60,0,0,0
18.3899,0,0,0
7.83318,0,0,0
1.9277,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.4134,0,0,0
9.45233,0,0,0
10.4182,0,0,0
1.41425,0,0,0
8.94364,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
11.2331,0,0,0
60,0,0,0
1.8112,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
8.21458,0,0,0
60,0,0,0
11.2148,0,0,0
7.90988,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
5.53336,0,0,0
60,0,0,0
60,0,0,0
0.306359,0,0,0
60,0,0,0
60,0,0,0
8.87196,0,0,0
5.71461,0,0,0
60,0,0,0
2.01484,0,0,0
2.50524,0,0,0
1.00843,0,0,0
5.42329,0,0,0
6.07504,0,0,0
0.802244,0,0,0
6.39782,0,0,0
60,0,0,0
9.86334,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
7.74223,0,0,0
60,0,0,0
11.2348,0,0,0
60,0,0,0
0.306461,0,0,0
1.70203,0,0,0
1.87609,0,0,0
10.2257,0,0,0
5.94507,0,0,0
3.45324,0,0,0
60,0,0,0
11.3877,0,0,0
60,0,0,0
7.31181,0,0,0
10.3959,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.67308,0,0,0
0.486297,0,0,0
2.5906,0,0,0
2.66533,0,0,0
60,0,0,0
5.27545,0,0,0
3.4114,0,0,0
4.80698,0,0,0
0.624609,0,0,0
8.14886,0,0,0
60,0,0,0
7.29621,0,0,0
60,0,0,0
60,0,0,0
11.29,0,0,0
60,0,0,0
10.4154,0,0,0
4.06691,0,0,0
9.31526,0,0,0
0.713424,0,0,0
60,0,0,0
11.345,0,0,0
8.58417,0,0,0
60,0,0,0
60,0,0,0
8.06467,0,0,0
7.58228,0,0,0
60,0,0,0
2.1714,0,0,0
10.215,0,0,0
2.68648,0,0,0
6.43024,0,0,0
11.2306,0,0,0
5.3926,0,0,0
8.90778,0,0,0
5.25249,0,0,0
3.23182,0,0,0
7.07091,0,0,0
3.70696,0,0,0
2.24137,0,0,0
10.0859,0,0,0
1.49673,0,0,0
11.1599,0,0,0
9.57456,0,0,0
60,0,0,0
6.86342,0,0,0
11.1811,0,0,0
60,0,0,0
9.80421,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.12732,0,0,0
60,0,0,0
60,0,0,0
9.94945,0,0,0
60,0,0,0
10.0738,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
0.575582,0,0,0
60,0,0,0
2.7588,0,0,0
8.86852,0,0,0
60,0,0,0
60,0,0,0
11.1104,0,0,0
60,0,0,0
60,0,0,0
8.88958,0,0,0
3.77199,0,0,0
60,0,0,0
1.24005,0,0,0
2.07191,0,0,0
60,0,0,0
11.3965,0,0,0
60,0,0,0
1.97027,0,0,0
10.5192,0,0,0
10.6729,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
3.62982,0,0,0
60,0,0,0
60,0,0,0
7.10698,0,0,0
3.59169,0,0,0
7.83788,0,0,0
60,0,0,0
1.49792,0,0,0
60,0,0,0
6.48293,0,0,0
2.06131,0,0,0
60,0,0,0
11.0874,0,0,0
2.12375,0,0,0
5.34515,0,0,0
60,0,0,0
60,0,0,0
10.0698,0,0,0
60,0,0,0
1.32314,0,0,0
60,0,0,0
6.24816,0,0,0
10.3626,0,0,0
60,0,0,0
4.55685,0,0,0
60,0,0,0
8.19241,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.8185,0,0,0
60,0,0,0
60,0,0,0
1.60154,0,0,0
60,0,0,0
3.96274,0,0,0
10.7233,0,0,0
8.24506,0,0,0
60,0,0,0
9.75689,0,0,0
60,0,0,0
10.1823,0,0,0
60,0,0,0
3.87974,0,0,0
16.1875,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
5.61754,0,0,0
60,0,0,0
60,0,0,0
0.805956,0,0,0
1.29052,0,0,0
4.07141,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
7.09923,0,0,0
6.62803,0,0,0
6.92391,0,0,0
6.72885,0,0,0
60,0,0,0
5.78801,0,0,0
3.71682,0,0,0
60,0,0,0
4.35621,0,0,0
60,0,0,0
10.6786,0,0,0
1.61234,0,0,0
9.79258,0,0,0
60,0,0,0
3.02537,0,0,0
0.879753,0,0,0
2.23168,0,0,0
4.28517,0,0,0
60,0,0,0
1.09721,0,0,0
5.7376,0,0,0
3.6032,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.4051,0,0,0
60,0,0,0
60,0,0,0
5.36763,0,0,0
8.26716,0,0,0
1.95407,0,0,0
0.260384,0,0,0
10.0044,0,0,0
60,0,0,0
3.26444,0,0,0
60,0,0,0
9.12993,0,0,0
60,0,0,0
5.03654,0,0,0
8.64385,0,0,0
7.33273,0,0,0
3.45188,0,0,0
60,0,0,0
2.10518,0,0,0
8.15118,0,0,0
11.2952,0,0,0
1.74079,0,0,0
60,0,0,0
0.839723,0,0,0
4.51181,0,0,0
9.90051,0,0,0
10.1445,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.1021,0,0,0
8.16976,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.16699,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
10.2941,0,0,0
7.05088,0,0,0
10.2935,0,0,0
8.13244,0,0,0
9.65958,0,0,0
1.4357,0,0,0
4.53249,0,0,0
9.80307,0,0,0
60,0,0,0
2.23156,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
2.83267,0,0,0
4.81244,0,0,0
0.543221,0,0,0
11.2936,0,0,0
7.54352,0,0,0
11.3681,0,0,0
60,0,0,0
8.08656,0,0,0
3.05775,0,0,0
0.707841,0,0,0
60,0,0,0
4.93926,0,0,0
7.59206,0,0,0
1.51618,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
9.31887,0,0,0
60,0,0,0
6.99238,0,0,0
0.388775,0,0,0
9.85111,0,0,0
60,0,0,0
5.30295,0,0,0
7.67261,0,0,0
4.18498,0,0,0
3.61229,0,0,0
60,0,0,0
9.69436,0,0,0
0.403582,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
8.62843,0,0,0
0.806708,0,0,0
60,0,0,0
0.554737,0,0,0
10.0553,0,0,0
60,0,0,0
7.03046,0,0,0
3.33411,0,0,0
60,0,0,0
6.09603,0,0,0
11.2642,0,0,0
60,0,0,0
0.204349,0,0,0
60,0,0,0
4.54404,0,0,0
60,0,0,0
6.35045,0,0,0
14.9092,0,0,0
60,0,0,0
1.71691,0,0,0
0.994213,0,0,0
7.60028,0,0,0
60,0,0,0
60,0,0,0
0.824588,0,0,0
6.75336,0,0,0
60,0,0,0
60,0,0,0
4.84835,0,0,0
60,0,0,0
37.8852,0,0,0
0.669547,0,0,0
60,0,0,0
7.58025,0,0,0
60,0,0,0
0.779504,0,0,0
60,0,0,0
10.7292,0,0,0
60,0,0,0
10.0605,0,0,0
60,0,0,0
6.33971,0,0,0
1.16023,0,0,0
7.4091,0,0,0
3.84996,0,0,0
10.0376,0,0,0
60,0,0,0
8.51604,0,0,0
11.2964,0,0,0
60,0,0,0
11.3832,0,0,0
2.08864,0,0,0
2.61261,0,0,0
60,0,0,0
8.14508,0,0,0
2.08299,0,0,0
60,0,0,0
0.576171,0,0,0
60,0,0,0
0.523888,0,0,0
11.0205,0,0,0
60,0,0,0
3.91951,0,0,0
4.5739,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
11.4065,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
1.44634,0,0,0
8.62943,0,0,0
0.426758,0,0,0
16.2557,0,0,0
1.06409,0,0,0
7.76813,0,0,0
60,0,0,0
9.61205,0,0,0
7.9239,0,0,0
8.734,0,0,0
9.66892,0,0,0
60,0,0,0
1.73223,0,0,0
60,0,0,0
25.0085,0,0,0
8.90716,0,0,0
4.51132,0,0,0
10.928,0,0,0
8.06343,0,0,0
3.26578,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
8.22736,0,0,0
60,0,0,0
8.2851,0,0,0
9.08057,0,0,0
60,0,0,0
3.86222,0,0,0
10.9834,0,0,0
6.68572,0,0,0
8.24133,0,0,0
1.70785,0,0,0
60,0,0,0
5.50859,0,0,0
60,0,0,0
60,0,0,0
9.29846,0,0,0
5.90567,0,0,0
60,0,0,0
3.63925,0,0,0
60,0,0,0
6.87281,0,0,0
0.849616,0,0,0
60,0,0,0
3.98828,0,0,0
60,0,0,0
11.1405,0,0,0
10.7622,0,0,0
60,0,0,0
9.8799,0,0,0
60,0,0,0
1.89868,0,0,0
60,0,0,0
8.96939,0,0,0
2.46918,0,0,0
60,0,0,0
60,0,0,0
11.3005,0,0,0
60,0,0,0
7.09544,0,0,0
60,0,0,0
60,0,0,0
6.14902,0,0,0
60,0,0,0
2.30804,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
