EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
48.01,0,0,0
26.1101,0,0,0
107.156,0,0,0
9.29844,0,0,0
13.4795,0,0,0
195.41,0,0,0
13.7981,0,0,0
20.566,0,0,0
4.98636,0,0,0
46.3348,0,0,0
6.30951,0,0,0
34.0519,0,0,0
302.385,0,0,0
89.2671,0,0,0
342.686,0,0,0
28.6829,0,0,0
89.1458,0,0,0
420.489,0,0,0
130.54,0,0,0
87.6404,0,0,0
52.3795,0,0,0
22.2351,0,0,0
52.4109,0,0,0
21.6969,0,0,0
248.985,0,0,0
366.638,0,0,0
73.3092,0,0,0
172.2,0,0,0
34.0504,0,0,0
358.727,0,0,0
67.849,0,0,0
57.8518,0,0,0
83.3818,0,0,0
35.7147,0,0,0
26.1899,0,0,0
9.33487,0,0,0
67.5195,0,0,0
62.1312,0,0,0
69.1843,0,0,0
89.5436,0,0,0
40.1731,0,0,0
62.3436,0,0,0
73.2895,0,0,0
3.41021,0,0,0
22.0021,0,0,0
148.039,0,0,0
51.7119,0,0,0
63.8314,0,0,0
291.025,0,0,0
67.7709,0,0,0
183.734,0,0,0
13.7163,0,0,0
146.969,0,0,0
264,0,0,0
0.949792,0,0,0
49.0683,0,0,0
159.742,0,0,0
60.5001,0,0,0
23.6715,0,0,0
39.8684,0,0,0
161.668,0,0,0
5.73689,0,0,0
49.0117,0,0,0
92.1187,0,0,0
94.0087,0,0,0
37.9369,0,0,0
186.268,0,0,0
51.3284,0,0,0
26.1295,0,0,0
33.9342,0,0,0
38.7876,0,0,0
94.8295,0,0,0
303.808,0,0,0
5.4569,0,0,0
27.7332,0,0,0
156.529,0,0,0
10.6147,0,0,0
46.7757,0,0,0
120.767,0,0,0
9.2544,0,0,0
34.5707,0,0,0
74.7911,0,0,0
41.7083,0,0,0
127.888,0,0,0
6.00606,0,0,0
35.62,0,0,0
29.7185,0,0,0
324.853,0,0,0
78.8649,0,0,0
628.966,0,0,0
41.0672,0,0,0
60.6317,0,0,0
10.0348,0,0,0
32.0337,0,0,0
115.4,0,0,0
11.7859,0,0,0
19.0091,0,0,0
323.723,0,0,0
232.822,0,0,0
40.0162,0,0,0
38.3839,0,0,0
3.01093,0,0,0
69.6058,0,0,0
7.69577,0,0,0
74.4696,0,0,0
404.44,0,0,0
46.2054,0,0,0
36.2914,0,0,0
46.3708,0,0,0
35.4822,0,0,0
54.8451,0,0,0
41.8003,0,0,0
36.3583,0,0,0
63.975,0,0,0
44.6189,0,0,0
44.1213,0,0,0
64.3345,0,0,0
28.1713,0,0,0
113.455,0,0,0
41.6831,0,0,0
90.5428,0,0,0
8.51711,0,0,0
54.5017,0,0,0
43.7906,0,0,0
73.3901,0,0,0
57.5637,0,0,0
26.0279,0,0,0
105.841,0,0,0
5.38959,0,0,0
144.553,0,0,0
5.18798,0,0,0
90.37,0,0,0
52.2117,0,0,0
22.6158,0,0,0
158.962,0,0,0
46.4161,0,0,0
96.7677,0,0,0
90.8395,0,0,0
76.5309,0,0,0
35.6797,0,0,0
31.1204,0,0,0
188.604,0,0,0
161.024,0,0,0
31.6335,0,0,0
155.935,0,0,0
91.6452,0,0,0
16.7579,0,0,0
74.5699,0,0,0
0.718494,0,0,0
67.9263,0,0,0
41.5001,0,0,0
653.104,0,0,0
40.4817,0,0,0
5.5229,0,0,0
274.774,0,0,0
82.6081,0,0,0
486.803,0,0,0
99.3183,0,0,0
85.8348,0,0,0
35.2981,0,0,0
117.461,0,0,0
98.7091,0,0,0
37.2353,0,0,0
560.941,0,0,0
204.368,0,0,0
326.861,0,0,0
44.052,0,0,0
4.97472,0,0,0
101.88,0,0,0
209.28,0,0,0
3.12128,0,0,0
37.4252,0,0,0
24.285,0,0,0
43.4303,0,0,0
252.705,0,0,0
78.9026,0,0,0
370.805,0,0,0
170.794,0,0,0
87.7878,0,0,0
25.0713,0,0,0
19.6481,0,0,0
27.1665,0,0,0
414.505,0,0,0
53.8496,0,0,0
279.107,0,0,0
26.1726,0,0,0
27.3302,0,0,0
59.7842,0,0,0
80.6427,0,0,0
34.002,0,0,0
144.591,0,0,0
45.5939,0,0,0
94.4468,0,0,0
214.716,0,0,0
27.234,0,0,0
203.136,0,0,0
7.69499,0,0,0
371.542,0,0,0
75.9248,0,0,0
382.815,0,0,0
5.90205,0,0,0
326.42,0,0,0
78.6449,0,0,0
31.8078,0,0,0
11.5943,0,0,0
9.38009,0,0,0
29.5538,0,0,0
276.061,0,0,0
16.331,0,0,0
20.431,0,0,0
456.813,0,0,0
56.9609,0,0,0
47.7203,0,0,0
350.536,0,0,0
139.068,0,0,0
