d (m),n,delta t (s),unc n
0.02,11186368,300,3344.602816
0.02,4480137,120,2116.633412
0.025,804680,30,897.0395755
0.03,598292,30,773.4933742
0.04,340011,30,583.1046218
0.05,216152,30,464.9214988
0.06,149180,30,386.2382684
0.08,82075,30,286.487347
0.1,51625,30,227.2113554
0.12,34860,30,186.7083287
0.14,25209,30,158.7734235
0.16,18306,30,135.2996674
0.18,14712,30,121.2930336
0.2,11466,30,107.0794098
0.25,2344,10,48.41487375
0.3,1592,10,39.89987469
0.35,1212,10,34.81379037
0.4,842,10,29.01723626
0.45,671,10,25.90366769
0.5,536,10,23.15167381
0.55,452,10,21.26029163
0.6,735,20,27.11088342
0.65,602,20,24.53568829
0.7,503,20,22.42766149
0.75,448,20,21.16601049
0.8,427,20,20.66397832
